Timestamp,pres,temp1,umid,temp2,V450,B500,G550,Y570,O600,R650,temps1,temps2,lumina
1/24/2022 22:00,1.006.449.463,-76.328.125,9.353.942.871,-1.053.125,0,0,0,0,0,0,-76.328.125,-1.053.125,0
1/24/2022 23:00,1.006.374.939,-83.046.875,9.297.790.527,-1.196.875,0,0,0,0,0,0,-83.046.875,-1.196.875,0
1/25/2022 0:00,100.614.624,-88.671.875,958.404.541,-132.734.375,0,0,0,0,0,0,-88.671.875,-132.734.375,0
1/25/2022 1:00,1.005.676.819,-934.375,9.844.970.703,-136.875,0,0,0,0,0,0,-934.375,-136.875,0
1/25/2022 2:00,1.005.075.012,-98.828.125,9.705.505.371,-146.484.375,0,0,0,1.177.117,0,0,-98.828.125,-146.484.375,1.177.117
1/25/2022 3:00,1.004.655.212,-103.671.875,9.653.625.488,-152.421.875,0,0,0,1.177.117,0,0,-103.671.875,-152.421.875,1.177.117
1/25/2022 4:00,1.004.209.167,-101.484.375,9.807.128.906,-150.546.875,0,0,1.325.722,1.177.117,0,0,-101.484.375,-150.546.875,2.502.839
1/25/2022 5:00,1.004.194.214,-107.578.125,9.727.478.027,-151.875,0,0,0,1.177.117,0,0,-107.578.125,-151.875,1.177.117
1/25/2022 6:00,1.003.840.698,-11.515.625,945.526.123,-168.515.625,0,0,0,1.177.117,0,0,-11.515.625,-168.515.625,1.177.117
1/25/2022 7:00,1.003.590.698,-112.578.125,9.821.777.344,-1.596.875,109.535.746,83.068.721,41.097.388,35.313.495,28.213.775,42.536.277,-112.578.125,-1.596.875,339.765.402
1/25/2022 8:00,100.307.312,-1.034.375,926.361.084,-15.046.875,3.076.303.673,3.255.642.319,3.117.170.715,3.122.419.167,2.135.905.266,1.995.526.314,-1.034.375,-15.046.875,1.670.296.745
1/25/2022 9:00,1.002.662.476,-49.765.625,7.680.664.063,-103.671.875,919.156.723,1.305.773.773,1.488.893.738,1.508.075.562,8.645.426.941,6.336.612.701,-49.765.625,-103.671.875,672.010.376
1/25/2022 10:00,1.001.936.157,-30.703.125,5.975.341.797,-76.171.875,1.251.723.938,1.824.712.677,1.996.900.787,2.030.810.089,1.015.561.829,7.827.249.908,-30.703.125,-76.171.875,8.902.434.311
1/25/2022 11:00,1.001.481.506,15.625,6.152.954.102,-33.984.375,1.402.731.323,1.715.213.776,1.737.750.549,1.755.795.288,1.014.627.914,7.589.711.761,15.625,-33.984.375,8.385.090.026
1/25/2022 12:00,1.000.678.894,6.796.875,5.078.735.352,-4.140.625,1.901.002.808,1.727.563.477,1.468.529.053,1.461.249.847,1.411.650.848,1.196.777.725,6.796.875,-4.140.625,9.166.773.758
1/25/2022 13:00,9.997.409.668,421.875,5.208.740.234,-10.390.625,1.614.926.453,1.562.745.361,1.356.474.609,1.356.809.845,1.174.423.676,967.858.963,421.875,-10.390.625,8.033.238.907
1/25/2022 14:00,9.990.504.761,59.375,5.308.532.715,390.625,1.630.548.706,161.525.589,1.379.356.537,138.987.381,1.275.826.797,1.023.155.899,59.375,390.625,8.314.017.639
1/25/2022 15:00,9.985.128.784,-359.375,6.109.619.141,-16.796.875,1.162.395.554,9.133.303.833,6.910.093.689,6.716.661.072,8.481.589.508,7.590.866.089,-359.375,-16.796.875,5.045.646.973
1/25/2022 16:00,9.980.095.215,-1.109.375,8.130.187.988,-28.984.375,4.081.331.635,3.243.751.907,2.302.381.897,2.227.575.302,289.203.434,3.007.774.544,-1.109.375,-28.984.375,1.775.484.963
1/25/2022 17:00,9.977.290.039,-18.203.125,9.732.055.664,-3.453.125,457.649.291,368.108.422,174.995.333,162.442.088,163.149.208,282.808.751,-18.203.125,-3.453.125,1.609.153.092
1/25/2022 18:00,9.974.353.027,-18.125,9.999.694.824,-33.671.875,150.049,0,1.325.722,1.177.117,1.226.686,0,-18.125,-33.671.875,5.230.014
1/25/2022 19:00,9.972.976.685,-16.796.875,9.999.694.824,-31.796.875,150.049,0,1.325.722,1.177.117,1.226.686,1.149.629,-16.796.875,-31.796.875,6.379.643
1/25/2022 20:00,9.970.733.032,-15.859.375,9.999.694.824,-328.125,0,0,1.325.722,1.177.117,1.226.686,0,-15.859.375,-328.125,3.729.525
1/25/2022 21:00,9.968.843.994,-14.921.875,9.999.694.824,-31.015.625,0,0,0,0,0,0,-14.921.875,-31.015.625,0
1/25/2022 22:00,9.966.682.129,-14.609.375,9.999.694.824,-31.015.625,0,0,0,0,0,0,-14.609.375,-31.015.625,0
1/25/2022 23:00,996.263.855,-1.703.125,9.999.694.824,-35.234.375,0,0,0,0,0,0,-1.703.125,-35.234.375,0
1/26/2022 0:00,9.957.676.392,-15.234.375,9.999.694.824,-27.421.875,0,0,1.325.722,1.177.117,1.226.686,0,-15.234.375,-27.421.875,3.729.525
1/26/2022 1:00,9.954.182.129,-1.171.875,9.999.694.824,-1.984.375,150.049,0,1.325.722,1.177.117,1.226.686,1.149.629,-1.171.875,-1.984.375,6.379.643
1/26/2022 2:00,9.951.594.238,-8.828.125,9.999.694.824,-1.484.375,150.049,0,1.325.722,2.354.233,2.453.372,1.149.629,-8.828.125,-1.484.375,8.783.446
